,entity 1,entity 1 label,entity 2,entity 2 label,type
601,LSD,DRUG,impact on well-being,OUTCOME,POSITIVELY IMPACTS
602,LSD,DRUG,smoking cessation,OUTCOME,POSITIVELY IMPACTS
603,LSD,DRUG,"long-term beneficial changes in perspectives, attitudes, values, and quality of life",OUTCOME,POSITIVELY IMPACTS
604,hallucinogens,DRUG,antiaddictive,OUTCOME,POSITIVELY IMPACTS
605,hallucinogens,DRUG,lasting beneficial changes,OUTCOME,POSITIVELY IMPACTS
609,LSD,DRUG,dying cancer patients.2,HEALTH,POSITIVELY IMPACTS
610,LSD,DRUG,mood,OUTCOME,POSITIVELY IMPACTS
611,LSD,DRUG,reduced anxiety,OUTCOME,POSITIVELY IMPACTS
612,LSD,DRUG,fear of death,OUTCOME,POSITIVELY IMPACTS
613,LSD,DRUG,advanced-stage cancer,HEALTH,POSITIVELY IMPACTS
614,LSD,DRUG,advanced-stage cancer cancer,HEALTH,POSITIVELY IMPACTS
616,psilocybin,DRUG,reduced anxiety,OUTCOME,POSITIVELY IMPACTS
617,psilocybin,DRUG,fear of death,OUTCOME,POSITIVELY IMPACTS
618,Psilocybin,DRUG,mood,OUTCOME,POSITIVELY IMPACTS
619,Psilocybin,DRUG,reduced anxiety,OUTCOME,POSITIVELY IMPACTS
621,Psilocybe,DRUG,mood,OUTCOME,POSITIVELY IMPACTS
625,psilocybin,DRUG,cancer-related psychosocial distress,HEALTH,POSITIVELY IMPACTS
627,psilocybin,DRUG,Anxiety,HEALTH,POSITIVELY IMPACTS
628,mystical experience,SUBJECTIVE,mood,OUTCOME,POSITIVELY IMPACTS
631,psilocybin,DRUG,cancer diagnosis,HEALTH,POSITIVELY IMPACTS
632,psilocybin,DRUG,improved attitudes toward disease progression and death,OUTCOME,POSITIVELY IMPACTS
633,psilocybin,DRUG,improved quality of life,OUTCOME,POSITIVELY IMPACTS
634,LSD,DRUG,cancer,HEALTH,POSITIVELY IMPACTS
635,LSD,DRUG,anxiolytic and antidepressant effects,OUTCOME,POSITIVELY IMPACTS
636,LSD,DRUG,improved attitudes toward disease progression and death,OUTCOME,POSITIVELY IMPACTS
637,LSD,DRUG,improved quality of life,OUTCOME,POSITIVELY IMPACTS
643,subjective experiences,SUBJECTIVE,anxiety,HEALTH,POSITIVELY IMPACTS
646,LSD,DRUG,marked improvement in depressive symptoms,OUTCOME,POSITIVELY IMPACTS
649,psilocybin,DRUG,amygdala,NEURAL,POSITIVELY IMPACTS
653,psilocybin,DRUG,normalize limbic hyperactivity,OUTCOME,POSITIVELY IMPACTS
654,psilocybin,DRUG,depressed mood state,HEALTH,POSITIVELY IMPACTS
670,psilocybin,DRUG,reduction of amygdala reactivity,OUTCOME,POSITIVELY IMPACTS
672,psilocybin,DRUG,emotion processing,OUTCOME,POSITIVELY IMPACTS
675,SSRIs,ANTIDEPRESSANT_DRUG,amygdala,NEURAL,POSITIVELY IMPACTS
676,serotonin transporters,NEURAL,amygdala,NEURAL,POSITIVELY IMPACTS
677,psilocybin,DRUG,decreased activation in the visual cortex,OUTCOME,POSITIVELY IMPACTS
678,psilocybin,DRUG,decrease of activation in the visual cortex,OUTCOME,POSITIVELY IMPACTS
680,psilocybin,DRUG,processing of threat-related signals,OUTCOME,POSITIVELY IMPACTS
681,psilocybin,DRUG,attenuation of amygdala activation,OUTCOME,POSITIVELY IMPACTS
685,psilocybin,DRUG,emotion,SUBJECTIVE,POSITIVELY IMPACTS
688,ketanserin,DRUG,amygdala,NEURAL,POSITIVELY IMPACTS
692,psilocybin,DRUG,mood state,OUTCOME,POSITIVELY IMPACTS
693,Psilocybin,DRUG,amygdala,NEURAL,POSITIVELY IMPACTS
695,Psilocybin,DRUG,increased positive mood state,OUTCOME,POSITIVELY IMPACTS
696,Psilocybin,DRUG,effect on negative mood state,OUTCOME,POSITIVELY IMPACTS
697,Psilocybin,DRUG,psychotropic effects,OUTCOME,POSITIVELY IMPACTS
698,Psilocybin,DRUG,mood state,OUTCOME,POSITIVELY IMPACTS
706,ketanserin,ANTIDEPRESSANT_DRUG,mood state,SUBJECTIVE,POSITIVELY IMPACTS
718,psilocybin,DRUG,5-HT2C blockade,NEURAL,POSITIVELY IMPACTS
738,psilocybin,DRUG,feeling some discernable benefits,OUTCOME,POSITIVELY IMPACTS
739,Psychedelics,DRUG,depression,HEALTH,POSITIVELY IMPACTS
740,Psychedelics,DRUG,drug experiences,OUTCOME,POSITIVELY IMPACTS
741,serotonin receptors,NEURAL,drug experiences,OUTCOME,POSITIVELY IMPACTS
743,psychedelic,DRUG,therapeutic outcomes,OUTCOME,POSITIVELY IMPACTS
744,psychedelic,DRUG,psychological flexibility,OUTCOME,POSITIVELY IMPACTS
747,peyote,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
748,LSD,DRUG,more understanding and acceptance of they and,OUTCOME,POSITIVELY IMPACTS
750,LSD,DRUG,life satisfaction,OUTCOME,POSITIVELY IMPACTS
752,psilocybin,DRUG,improved well-being,OUTCOME,POSITIVELY IMPACTS
753,psilocybin,DRUG,life satisfaction,OUTCOME,POSITIVELY IMPACTS
754,psychedelics,DRUG,life satisfaction,OUTCOME,POSITIVELY IMPACTS
755,psychedelics,DRUG,mescaline,DRUG,POSITIVELY IMPACTS
757,psychedelics,DRUG,suicide attempt,OUTCOME,POSITIVELY IMPACTS
761,peyote,DRUG,depression,HEALTH,POSITIVELY IMPACTS
762,peyote,DRUG,mindfulness,SUBJECTIVE,POSITIVELY IMPACTS
763,peyote,DRUG,suicide attempts,OUTCOME,POSITIVELY IMPACTS
771,LSD,DRUG,suicide attempts,OUTCOME,POSITIVELY IMPACTS
772,psychedelics,DRUG,adverse events,OUTCOME,POSITIVELY IMPACTS
773,psychedelics,DRUG,acceptable safety for clinical use,OUTCOME,POSITIVELY IMPACTS
774,psychedelics,DRUG,death,HEALTH,POSITIVELY IMPACTS
775,psychedelics,DRUG,cultural biases,OUTCOME,POSITIVELY IMPACTS
776,LSD,DRUG,death,HEALTH,POSITIVELY IMPACTS
777,LSD,DRUG,cultural biases,OUTCOME,POSITIVELY IMPACTS
778,LSD,DRUG,beatnik,DRUG,POSITIVELY IMPACTS
780,LSD,DRUG,…,DRUG,POSITIVELY IMPACTS
782,psilocybin,DRUG,"minimal adverse event profile,22,23",OUTCOME,POSITIVELY IMPACTS
783,psilocybin,DRUG,therapeutic advantages,OUTCOME,POSITIVELY IMPACTS
784,psilocybin,DRUG,treatment-resistant depression,HEALTH,POSITIVELY IMPACTS
787,psilocybin,DRUG,alcohol use disorder49,HEALTH,POSITIVELY IMPACTS
788,psilocybin,DRUG,personally meaningful,OUTCOME,POSITIVELY IMPACTS
789,psilocybin,DRUG,insightful experiences,OUTCOME,POSITIVELY IMPACTS
790,psilocybin,DRUG,"large, rapid, and sustained antidepressant effects",OUTCOME,POSITIVELY IMPACTS
793,psilocybin,DRUG,problematic effects,OUTCOME,POSITIVELY IMPACTS
794,psilocybin,DRUG,emergence of psychosis,OUTCOME,POSITIVELY IMPACTS
797,LSD,DRUG,addiction,HEALTH,POSITIVELY IMPACTS
798,ayahuasca,DRUG,mindfulness capacities,OUTCOME,POSITIVELY IMPACTS
799,ayahuasca,DRUG,increase in several mindfulness-related parameters,OUTCOME,POSITIVELY IMPACTS
800,ayahuasca,DRUG,addiction,HEALTH,POSITIVELY IMPACTS
819,ayahuasca,DRUG,acceptance,OUTCOME,POSITIVELY IMPACTS
820,ayahuasca,DRUG,increased self-acceptance,OUTCOME,POSITIVELY IMPACTS
828,ayahuasca,DRUG,advanced-stage cancer patients,HEALTH,POSITIVELY IMPACTS
829,psychedelic 5-HT2A agonists,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
831,psilocybin,DRUG,depressive symptoms,HEALTH,POSITIVELY IMPACTS
836,ayahuasca,DRUG,mindfulness,SUBJECTIVE,POSITIVELY IMPACTS
838,default mode network deactivation,NEURAL,mindfulness,SUBJECTIVE,POSITIVELY IMPACTS
839,ayahuasca,DRUG,transpersonal feelings,SUBJECTIVE,POSITIVELY IMPACTS
841,psychedelics,DRUG,transpersonal feelings,SUBJECTIVE,POSITIVELY IMPACTS
842,psychedelics,DRUG,mindfulness,SUBJECTIVE,POSITIVELY IMPACTS
843,psilocybin,DRUG,mindfulness,SUBJECTIVE,POSITIVELY IMPACTS
845,ayahuasca,DRUG,increases in mindfulness-related capacities,OUTCOME,POSITIVELY IMPACTS
854,psychedelics,DRUG,decreased brain entropy,OUTCOME,POSITIVELY IMPACTS
855,psychedelics,DRUG,entropy,OUTCOME,POSITIVELY IMPACTS
856,psychedelics,DRUG,complexity,OUTCOME,POSITIVELY IMPACTS
857,psychedelics,DRUG,stimulant,DRUG,POSITIVELY IMPACTS
858,psychedelics,DRUG,subjective uncertainty,SUBJECTIVE,POSITIVELY IMPACTS
859,altered states of consciousness,SUBJECTIVE,subjective uncertainty,SUBJECTIVE,POSITIVELY IMPACTS
860,altered states of consciousness,SUBJECTIVE,sense of uncertainty,SUBJECTIVE,POSITIVELY IMPACTS
861,psychedelics,DRUG,sense of uncertainty,SUBJECTIVE,POSITIVELY IMPACTS
862,serotonergic psychedelics,DRUG,sense of uncertainty,SUBJECTIVE,POSITIVELY IMPACTS
863,psychedelics,DRUG,compressibility of signals,OUTCOME,POSITIVELY IMPACTS
864,psychedelics,DRUG,brain entropy,NEURAL,POSITIVELY IMPACTS
865,psychedelics,DRUG,neurobiology of consciousness,NEURAL,POSITIVELY IMPACTS
866,psychedelic,DRUG,neurobiology of consciousness,NEURAL,POSITIVELY IMPACTS
869,consciousness,SUBJECTIVE,integrated-information theory,SUBJECTIVE,POSITIVELY IMPACTS
870,consciousness,SUBJECTIVE,brain entropy,NEURAL,POSITIVELY IMPACTS
871,consciousness,SUBJECTIVE,complexity,OUTCOME,POSITIVELY IMPACTS
872,consciousness,SUBJECTIVE,brain,NEURAL,POSITIVELY IMPACTS
875,consciousness,SUBJECTIVE,entropy,OUTCOME,POSITIVELY IMPACTS
876,integration,SUBJECTIVE,entropy,OUTCOME,POSITIVELY IMPACTS
877,psilocybin,DRUG,attract emotive and often polarised opinions,OUTCOME,POSITIVELY IMPACTS
878,psilocybin,DRUG,depressive disorder,HEALTH,POSITIVELY IMPACTS
879,psilocybin,DRUG,deliverability and cost-effectiveness,OUTCOME,POSITIVELY IMPACTS
881,psychedelics,DRUG,deliverability and cost-effectiveness,OUTCOME,POSITIVELY IMPACTS
882,efficacy,OUTCOME,alcohol dependence,HEALTH,POSITIVELY IMPACTS
883,ayahuasca,DRUG,transient modified state of awareness,OUTCOME,POSITIVELY IMPACTS
884,ayahuasca,DRUG,introspection,OUTCOME,POSITIVELY IMPACTS
885,ayahuasca,DRUG,visions,OUTCOME,POSITIVELY IMPACTS
886,ayahuasca,DRUG,autobiographic and emotional memories,OUTCOME,POSITIVELY IMPACTS
887,ayahuasca,DRUG,positive and valuable,OUTCOME,POSITIVELY IMPACTS
890,ayahuasca,DRUG,receptor,NEURAL,POSITIVELY IMPACTS
911,SR1,NEURAL,receptor,NEURAL,POSITIVELY IMPACTS
912,SR1,NEURAL,depression,HEALTH,POSITIVELY IMPACTS
913,SR1,NEURAL,anxiety,HEALTH,POSITIVELY IMPACTS
917,serotonin reuptake inhibitor,ANTIDEPRESSANT_DRUG,receptor,NEURAL,POSITIVELY IMPACTS
918,serotonin reuptake inhibitor,ANTIDEPRESSANT_DRUG,depression,HEALTH,POSITIVELY IMPACTS
919,serotonin reuptake inhibitor,ANTIDEPRESSANT_DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
922,ayahuasca,DRUG,improvements in mindfulness,OUTCOME,POSITIVELY IMPACTS
923,ayahuasca,DRUG,empowerment,OUTCOME,POSITIVELY IMPACTS
924,ayahuasca,DRUG,hopefulness,OUTCOME,POSITIVELY IMPACTS
925,ayahuasca,DRUG,quality of life-outlook,OUTCOME,POSITIVELY IMPACTS
926,ayahuasca,DRUG,quality of life-meaning,OUTCOME,POSITIVELY IMPACTS
933,ayahuasca,DRUG,improvement in alcohol use,OUTCOME,POSITIVELY IMPACTS
934,ayahuasca,DRUG,cessation of drug use,OUTCOME,POSITIVELY IMPACTS
939,ayahuasca,DRUG,reductions in associated symptomatology,OUTCOME,POSITIVELY IMPACTS
941,ayahuasca,DRUG,panic- and hopelessness-related states,OUTCOME,POSITIVELY IMPACTS
942,ayahuasca,DRUG,Depression,HEALTH,POSITIVELY IMPACTS
949,LSD,DRUG,elevated brain-wide shared signal,OUTCOME,POSITIVELY IMPACTS
950,LSD,DRUG,brain-wide hyper-connectivity,NEURAL,POSITIVELY IMPACTS
951,ayahuasca,DRUG,elevated brain-wide shared signal,OUTCOME,POSITIVELY IMPACTS
952,ayahuasca,DRUG,hypo-connectivity,OUTCOME,POSITIVELY IMPACTS
953,ayahuasca,DRUG,brain-wide hyper-connectivity,NEURAL,POSITIVELY IMPACTS
957,psilocybin,DRUG,hypo-connectivity,OUTCOME,POSITIVELY IMPACTS
958,psilocybin,DRUG,brain-wide hyper-connectivity,NEURAL,POSITIVELY IMPACTS
961,LSD,DRUG,hypo-connectivity,OUTCOME,POSITIVELY IMPACTS
962,LSD,DRUG,amygdala,NEURAL,POSITIVELY IMPACTS
964,LSD,DRUG,alterations in amygdala activity and connectivity,OUTCOME,POSITIVELY IMPACTS
965,LSD,DRUG,beneficial clinical effects,OUTCOME,POSITIVELY IMPACTS
966,LSD,DRUG,de-coupling in associative networks,OUTCOME,POSITIVELY IMPACTS
967,LSD,DRUG,systems-level perturbations,NEURAL,POSITIVELY IMPACTS
968,LSD,DRUG,hyper-and hypo-connectivity,OUTCOME,POSITIVELY IMPACTS
969,LSD,DRUG,altered state of consciousness,SUBJECTIVE,POSITIVELY IMPACTS
982,LSD,DRUG,negligible changes,OUTCOME,POSITIVELY IMPACTS
983,Pla,DRUG,negligible changes,OUTCOME,POSITIVELY IMPACTS
984,Ketanserin,DRUG,negligible changes,OUTCOME,POSITIVELY IMPACTS
986,Pla,DRUG,brain-wide dysconnectivity,NEURAL,POSITIVELY IMPACTS
988,LSD,DRUG,sensory networks,NEURAL,POSITIVELY IMPACTS
990,LSD,DRUG,brain-wide net effect,NEURAL,POSITIVELY IMPACTS
992,LSD,DRUG,brain-wide dysconnectivity,NEURAL,POSITIVELY IMPACTS
993,Ketanserin,DRUG,sensory networks,NEURAL,POSITIVELY IMPACTS
994,Ketanserin,DRUG,hypo-connectivity,OUTCOME,POSITIVELY IMPACTS
995,Ketanserin,DRUG,brain-wide net effect,NEURAL,POSITIVELY IMPACTS
997,Ketanserin,DRUG,brain-wide dysconnectivity,NEURAL,POSITIVELY IMPACTS
1002,LSD,DRUG,alterations in neural and behavioral effects,OUTCOME,POSITIVELY IMPACTS
1004,LSD,DRUG,brain-wide integration of sensory networks,NEURAL,POSITIVELY IMPACTS
1007,LSD,DRUG,neural and behavioral alterations,OUTCOME,POSITIVELY IMPACTS
1012,LSD,DRUG,cortices,NEURAL,POSITIVELY IMPACTS
1018,LSD,DRUG,hyper- and hypo-connectivity change scores,OUTCOME,POSITIVELY IMPACTS
1019,LSD,DRUG,hyper-connectivity,NEURAL,POSITIVELY IMPACTS
1020,LSD,DRUG,functionally pre-defined networks,NEURAL,POSITIVELY IMPACTS
1024,LSD,DRUG,bi-directional brain-wide shared signal,OUTCOME,POSITIVELY IMPACTS
1027,LSD,DRUG,Ket,DRUG,POSITIVELY IMPACTS
1028,LSD,DRUG,subjective drug effects,OUTCOME,POSITIVELY IMPACTS
1029,LSD,DRUG,subjectively accessible,OUTCOME,POSITIVELY IMPACTS
1030,LSD,DRUG,blissful state,SUBJECTIVE,POSITIVELY IMPACTS
1031,LSD,DRUG,higher subjective effects,OUTCOME,POSITIVELY IMPACTS
1036,LSD,DRUG,postcentral gyrus,NEURAL,POSITIVELY IMPACTS
1042,Pla,DRUG,subjectively accessible,OUTCOME,POSITIVELY IMPACTS
1043,Pla,DRUG,blissful state,SUBJECTIVE,POSITIVELY IMPACTS
1044,Pla,DRUG,postcentral gyrus,NEURAL,POSITIVELY IMPACTS
1051,GBC,NEURAL,blissful state,SUBJECTIVE,POSITIVELY IMPACTS
1053,psychedelic,DRUG,sense of self,SUBJECTIVE,POSITIVELY IMPACTS
1054,LSD,DRUG,sense of self,SUBJECTIVE,POSITIVELY IMPACTS
1055,consciousness,SUBJECTIVE,sense of self,SUBJECTIVE,POSITIVELY IMPACTS
1056,sensorimotor system,NEURAL,sense of self,SUBJECTIVE,POSITIVELY IMPACTS
1058,psychedelic,DRUG,delusions,HEALTH,POSITIVELY IMPACTS
1059,psychedelic,DRUG,alterations in the sense of self,OUTCOME,POSITIVELY IMPACTS
1061,LSD,DRUG,delusions,HEALTH,POSITIVELY IMPACTS
1062,LSD,DRUG,alterations in the sense of self,OUTCOME,POSITIVELY IMPACTS
1065,LSD,DRUG,neuronal and subjective effects,OUTCOME,POSITIVELY IMPACTS
1075,LSD,DRUG,HTR2C,NEURAL,POSITIVELY IMPACTS
1078,ayahuasca,DRUG,creativity,OUTCOME,POSITIVELY IMPACTS
1083,ayahuasca,DRUG,enhancement of divergent thinking,OUTCOME,POSITIVELY IMPACTS
1090,ayahuasca,DRUG,mescaline,DRUG,POSITIVELY IMPACTS
1095,ayahuasca,DRUG,associations and insights,OUTCOME,POSITIVELY IMPACTS
1097,ayahuasca,DRUG,cognitive flexibility,OUTCOME,POSITIVELY IMPACTS
1098,ayahuasca,DRUG,enhanced divergent thinking,OUTCOME,POSITIVELY IMPACTS
1100,ayahuasca,DRUG,placebo state,SUBJECTIVE,POSITIVELY IMPACTS
1101,psilocybin,DRUG,cognitive flexibility,OUTCOME,POSITIVELY IMPACTS
1104,psychedelics,DRUG,more novel thoughts,OUTCOME,POSITIVELY IMPACTS
1117,ayahuasca,DRUG,mindfulness-related capacities were enhanced,OUTCOME,POSITIVELY IMPACTS
1119,ayahuasca,DRUG,post-traumatic stress disorder,HEALTH,POSITIVELY IMPACTS
1122,psychedelics,DRUG,therapeutic process,OUTCOME,POSITIVELY IMPACTS
1123,ayahuasca,DRUG,therapeutic process,OUTCOME,POSITIVELY IMPACTS
1125,Psilocybin,DRUG,psychological distress,HEALTH,POSITIVELY IMPACTS
1126,Psilocybin,DRUG,psychiatric conditions,HEALTH,POSITIVELY IMPACTS
1127,psilocybin,DRUG,single mediating factor,OUTCOME,POSITIVELY IMPACTS
1129,psilocybin,DRUG,deeply meaningful attachments to important family members and significant others,OUTCOME,POSITIVELY IMPACTS
1130,psilocybin,DRUG,forgiveness of others,OUTCOME,POSITIVELY IMPACTS
1131,psilocybin,DRUG,loved ones as spirit guides,OUTCOME,POSITIVELY IMPACTS
1132,psilocybin,DRUG,narrating one’s experience with loved ones,OUTCOME,POSITIVELY IMPACTS
1133,psilocybin,DRUG,improved relationships posttreatment,OUTCOME,POSITIVELY IMPACTS
1146,psilocybin,DRUG,"feelings of relief, wholeness, freedom, and affirmation",OUTCOME,POSITIVELY IMPACTS
1149,"surrender or “let go,”",OUTCOME,"feelings of relief, wholeness, freedom, and affirmation",OUTCOME,POSITIVELY IMPACTS
1150,psilocybin,DRUG,experienced profound emotional depths,OUTCOME,POSITIVELY IMPACTS
1151,psilocybin,DRUG,expanded affective boundaries,OUTCOME,POSITIVELY IMPACTS
1152,psilocybin,DRUG,visions,OUTCOME,POSITIVELY IMPACTS
1153,psilocybin,DRUG,deeply coded with layers of meaning,OUTCOME,POSITIVELY IMPACTS
1154,psilocybin,DRUG,lasting impacts to study participants quality of life,OUTCOME,POSITIVELY IMPACTS
1155,psilocybin,DRUG,life priorities,OUTCOME,POSITIVELY IMPACTS
1156,psilocybin,DRUG,sense of identity,OUTCOME,POSITIVELY IMPACTS
1157,psilocybin,DRUG,recovered a sense of what is most important and vital,OUTCOME,POSITIVELY IMPACTS
1158,psilocybin,DRUG,being present in the moment,OUTCOME,POSITIVELY IMPACTS
1159,psilocybin,DRUG,kind to other people,OUTCOME,POSITIVELY IMPACTS
1160,psilocybin,DRUG,feeling “reborn,OUTCOME,POSITIVELY IMPACTS
1161,psilocybin,DRUG,more expansive,OUTCOME,POSITIVELY IMPACTS
1162,psilocybin,DRUG,more confident,OUTCOME,POSITIVELY IMPACTS
1163,psilocybin,DRUG,more connected,OUTCOME,POSITIVELY IMPACTS
1164,psilocybin,DRUG,more alive,OUTCOME,POSITIVELY IMPACTS
1165,psilocybin,DRUG,feeling of empowerment,OUTCOME,POSITIVELY IMPACTS
1170,psilocybin,DRUG,lasting impacts,OUTCOME,POSITIVELY IMPACTS
1171,psilocybin,DRUG,death,HEALTH,POSITIVELY IMPACTS
1172,psilocybin,DRUG,spirituality,SUBJECTIVE,POSITIVELY IMPACTS
1173,psilocybin,DRUG,cancer patients,HEALTH,POSITIVELY IMPACTS
1174,psilocybin,DRUG,existential and psychological distress,OUTCOME,POSITIVELY IMPACTS
1176,psilocybin,DRUG,relationally embedded,OUTCOME,POSITIVELY IMPACTS
1177,psilocybin,DRUG,deeply meaningful,OUTCOME,POSITIVELY IMPACTS
1178,psilocybin,DRUG,biographically instantiated,OUTCOME,POSITIVELY IMPACTS
1179,psilocybin,DRUG,lasting impacts to Participants experience of Participants and the world,OUTCOME,POSITIVELY IMPACTS
1180,psilocybin,DRUG,cancer,HEALTH,POSITIVELY IMPACTS
1190,psilocybin,DRUG,maximize therapeutic benefit,OUTCOME,POSITIVELY IMPACTS
1192,psilocybin,DRUG,medical and public health significance,OUTCOME,POSITIVELY IMPACTS
1193,psilocybin,DRUG,potential therapeutic benefits,OUTCOME,POSITIVELY IMPACTS
1199,psilocybin,DRUG,science does not support scheduling more restrictive than IV,OUTCOME,POSITIVELY IMPACTS
1200,psilocybin,DRUG,profound and very long lasting positive changes in mood and well-being,OUTCOME,POSITIVELY IMPACTS
1201,psilocybin,DRUG,treatment resistant mental and behavioral disorders,HEALTH,POSITIVELY IMPACTS
1203,psilocybin,DRUG,the need for such research is urgent,OUTCOME,POSITIVELY IMPACTS
1205,psychedelics,DRUG,profound and very long lasting positive changes in mood and well-being,OUTCOME,POSITIVELY IMPACTS
1209,LSD,DRUG,neuronal populations,NEURAL,POSITIVELY IMPACTS
1210,LSD,DRUG,highly interrelated processes,OUTCOME,POSITIVELY IMPACTS
1211,LSD,DRUG,disruption of established neural connectivity,OUTCOME,POSITIVELY IMPACTS
1212,LSD,DRUG,emergence of novel functional associations,OUTCOME,POSITIVELY IMPACTS
1213,psilocybin,DRUG,neuronal populations,NEURAL,POSITIVELY IMPACTS
1214,psilocybin,DRUG,highly interrelated processes,OUTCOME,POSITIVELY IMPACTS
1215,psilocybin,DRUG,disruption of established neural connectivity,OUTCOME,POSITIVELY IMPACTS
1216,psilocybin,DRUG,emergence of novel functional associations,OUTCOME,POSITIVELY IMPACTS
1228,psychedelic,DRUG,brain regions,NEURAL,POSITIVELY IMPACTS
1229,psychedelic,DRUG,different transcriptional responses,OUTCOME,POSITIVELY IMPACTS
1232,compounds,DRUG,brain regions,NEURAL,POSITIVELY IMPACTS
1234,compounds,DRUG,addiction,HEALTH,POSITIVELY IMPACTS
1235,compounds,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
1240,psychedelic drugs,DRUG,addiction,HEALTH,POSITIVELY IMPACTS
1241,psychedelic drugs,DRUG,anxiety,HEALTH,POSITIVELY IMPACTS
1243,harmine,DRUG,stimulated the proliferation and migration of progenitor cells,OUTCOME,POSITIVELY IMPACTS
1244,harmine,DRUG,promoted progenitor cells differentiation,OUTCOME,POSITIVELY IMPACTS
1246,THH,DRUG,stimulated the proliferation and migration of progenitor cells,OUTCOME,POSITIVELY IMPACTS
1247,THH,DRUG,promoted progenitor cells differentiation,OUTCOME,POSITIVELY IMPACTS
1249,harmaline,DRUG,stimulated the proliferation and migration of progenitor cells,OUTCOME,POSITIVELY IMPACTS
1250,harmaline,DRUG,promoted progenitor cells differentiation,OUTCOME,POSITIVELY IMPACTS
1252,ayahuasca,DRUG,stimulated the proliferation and migration of progenitor cells,OUTCOME,POSITIVELY IMPACTS
1253,ayahuasca,DRUG,promoted progenitor cells differentiation,OUTCOME,POSITIVELY IMPACTS
1255,SVZ,NEURAL,stimulated the proliferation and migration of progenitor cells,OUTCOME,POSITIVELY IMPACTS
1256,SVZ,NEURAL,promoted progenitor cells differentiation,OUTCOME,POSITIVELY IMPACTS
1257,SGZ,NEURAL,stimulated the proliferation and migration of progenitor cells,OUTCOME,POSITIVELY IMPACTS
1258,SGZ,NEURAL,promoted progenitor cells differentiation,OUTCOME,POSITIVELY IMPACTS
1267,compounds,DRUG,cellular differentiation,OUTCOME,POSITIVELY IMPACTS
1268,compounds,DRUG,Tuj-1,NEURAL,POSITIVELY IMPACTS
1269,compounds,DRUG,equally expressed,OUTCOME,POSITIVELY IMPACTS
1270,compounds,DRUG,Tuj-1 levels,NEURAL,POSITIVELY IMPACTS
1276,compounds,DRUG,stimulated migration,OUTCOME,POSITIVELY IMPACTS
1277,compounds,DRUG,promote the three processes involved in full adult neurogenesis,OUTCOME,POSITIVELY IMPACTS
1279,Lmx1a,NEURAL,promote the three processes involved in full adult neurogenesis,OUTCOME,POSITIVELY IMPACTS
1280,Lmx1b44,NEURAL,stimulated migration,OUTCOME,POSITIVELY IMPACTS
1281,Lmx1b44,NEURAL,promote the three processes involved in full adult neurogenesis,OUTCOME,POSITIVELY IMPACTS
1286,THH,DRUG,promote the three processes involved in full adult neurogenesis,OUTCOME,POSITIVELY IMPACTS
1288,serotonin depletion,NEURAL,harmol,DRUG,POSITIVELY IMPACTS
1289,serotonin depletion,NEURAL,fluoxetine,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
1290,serotonin depletion,NEURAL,imipramine,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
1291,serotonin depletion,NEURAL,hippocampal neurogenesis,OUTCOME,POSITIVELY IMPACTS
1292,serotonin depletion,NEURAL,human neural progenitor cells,NEURAL,POSITIVELY IMPACTS
1293,molecules,NEURAL,hippocampal neurogenesis,OUTCOME,POSITIVELY IMPACTS
1294,molecules,NEURAL,human neural progenitor cells,NEURAL,POSITIVELY IMPACTS
1295,molecules,NEURAL,endothelial growth,NEURAL,POSITIVELY IMPACTS
1296,molecules,NEURAL,relevant therapeutic implications,OUTCOME,POSITIVELY IMPACTS
1297,serotonin reuptake inhibitor fluoxetine,ANTIDEPRESSANT_DRUG,endothelial growth,NEURAL,POSITIVELY IMPACTS
1298,serotonin reuptake inhibitor fluoxetine,ANTIDEPRESSANT_DRUG,increases neurogenesis,OUTCOME,POSITIVELY IMPACTS
1299,serotonin reuptake inhibitor fluoxetine,ANTIDEPRESSANT_DRUG,imipramine,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
1300,selective MAO-A inhibitor pirlindole53,ANTIDEPRESSANT_DRUG,increases neurogenesis,OUTCOME,POSITIVELY IMPACTS
1301,selective MAO-A inhibitor pirlindole53,ANTIDEPRESSANT_DRUG,imipramine,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
1302,SGZ,NEURAL,increases neurogenesis,OUTCOME,POSITIVELY IMPACTS
1303,SGZ,NEURAL,imipramine,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
1304,fluoxetine,ANTIDEPRESSANT_DRUG,imipramine,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
1307,ayahuasca,DRUG,imipramine,ANTIDEPRESSANT_DRUG,POSITIVELY IMPACTS
1308,ayahuasca,DRUG,"neuropsychiatric disorders60,61,62",HEALTH,POSITIVELY IMPACTS
1309,ayahuasca,DRUG,decreases in problematic alcohol,OUTCOME,POSITIVELY IMPACTS
1310,ayahuasca,DRUG,cocaine and opiate consumption,OUTCOME,POSITIVELY IMPACTS
